time,Measure,kWh,label
2022-01-03 00:00:00,BS1 - Main 1L,31.75,Non-production
2022-01-03 00:15:00,BS1 - Main 1L,31.625,Non-production
2022-01-03 00:30:00,BS1 - Main 1L,31.5,Non-production
2022-01-03 00:45:00,BS1 - Main 1L,31.375,Non-production
2022-01-03 01:00:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 01:15:00,BS1 - Main 1L,30.9375,Non-production
2022-01-03 01:30:00,BS1 - Main 1L,30.625,Non-production
2022-01-03 01:45:00,BS1 - Main 1L,30.3125,Non-production
2022-01-03 02:00:00,BS1 - Main 1L,30.0,Non-production
2022-01-03 02:15:00,BS1 - Main 1L,30.3125,Non-production
2022-01-03 02:30:00,BS1 - Main 1L,30.625,Non-production
2022-01-03 02:45:00,BS1 - Main 1L,30.9375,Non-production
2022-01-03 03:00:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 03:15:00,BS1 - Main 1L,31.9375,Non-production
2022-01-03 03:30:00,BS1 - Main 1L,32.625,Non-production
2022-01-03 03:45:00,BS1 - Main 1L,33.3125,Non-production
2022-01-03 04:00:00,BS1 - Main 1L,34.0,Non-production
2022-01-03 04:15:00,BS1 - Main 1L,34.0,Non-production
2022-01-03 04:30:00,BS1 - Main 1L,34.0,Non-production
2022-01-03 04:45:00,BS1 - Main 1L,34.0,Non-production
2022-01-03 05:00:00,BS1 - Main 1L,34.0,Non-production
2022-01-03 05:15:00,BS1 - Main 1L,33.75,Non-production
2022-01-03 05:30:00,BS1 - Main 1L,33.5,Non-production
2022-01-03 05:45:00,BS1 - Main 1L,33.25,Non-production
2022-01-03 06:00:00,BS1 - Main 1L,33.0,Non-production
2022-01-03 06:15:00,BS1 - Main 1L,33.875,Non-production
2022-01-03 06:30:00,BS1 - Main 1L,34.75,Non-production
2022-01-03 06:45:00,BS1 - Main 1L,35.625,Non-production
2022-01-03 07:00:00,BS1 - Main 1L,36.5,Non-production
2022-01-03 07:15:00,BS1 - Main 1L,36.25,Non-production
2022-01-03 07:30:00,BS1 - Main 1L,36.0,Non-production
2022-01-03 07:45:00,BS1 - Main 1L,35.75,Non-production
2022-01-03 08:00:00,BS1 - Main 1L,35.5,Non-production
2022-01-03 08:15:00,BS1 - Main 1L,35.625,Non-production
2022-01-03 08:30:00,BS1 - Main 1L,35.75,Non-production
2022-01-03 08:45:00,BS1 - Main 1L,35.875,Non-production
2022-01-03 09:00:00,BS1 - Main 1L,36.0,Non-production
2022-01-03 09:15:00,BS1 - Main 1L,35.6875,Non-production
2022-01-03 09:30:00,BS1 - Main 1L,35.375,Non-production
2022-01-03 09:45:00,BS1 - Main 1L,35.0625,Non-production
2022-01-03 10:00:00,BS1 - Main 1L,34.75,Non-production
2022-01-03 10:15:00,BS1 - Main 1L,34.8125,Non-production
2022-01-03 10:30:00,BS1 - Main 1L,34.875,Non-production
2022-01-03 10:45:00,BS1 - Main 1L,34.9375,Non-production
2022-01-03 11:00:00,BS1 - Main 1L,35.0,Non-production
2022-01-03 11:15:00,BS1 - Main 1L,34.6875,Non-production
2022-01-03 11:30:00,BS1 - Main 1L,34.375,Non-production
2022-01-03 11:45:00,BS1 - Main 1L,34.0625,Non-production
2022-01-03 12:00:00,BS1 - Main 1L,33.75,Non-production
2022-01-03 12:15:00,BS1 - Main 1L,33.375,Non-production
2022-01-03 12:30:00,BS1 - Main 1L,33.0,Non-production
2022-01-03 12:45:00,BS1 - Main 1L,32.625,Non-production
2022-01-03 13:00:00,BS1 - Main 1L,32.25,Non-production
2022-01-03 13:15:00,BS1 - Main 1L,32.125,Non-production
2022-01-03 13:30:00,BS1 - Main 1L,32.0,Non-production
2022-01-03 13:45:00,BS1 - Main 1L,31.875,Non-production
2022-01-03 14:00:00,BS1 - Main 1L,31.75,Non-production
2022-01-03 14:15:00,BS1 - Main 1L,31.5,Non-production
2022-01-03 14:30:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 14:45:00,BS1 - Main 1L,31.0,Non-production
2022-01-03 15:00:00,BS1 - Main 1L,30.75,Non-production
2022-01-03 15:15:00,BS1 - Main 1L,30.8125,Non-production
2022-01-03 15:30:00,BS1 - Main 1L,30.875,Non-production
2022-01-03 15:45:00,BS1 - Main 1L,30.9375,Non-production
2022-01-03 16:00:00,BS1 - Main 1L,31.0,Non-production
2022-01-03 16:15:00,BS1 - Main 1L,31.0625,Non-production
2022-01-03 16:30:00,BS1 - Main 1L,31.125,Non-production
2022-01-03 16:45:00,BS1 - Main 1L,31.1875,Non-production
2022-01-03 17:00:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 17:15:00,BS1 - Main 1L,31.4375,Non-production
2022-01-03 17:30:00,BS1 - Main 1L,31.625,Non-production
2022-01-03 17:45:00,BS1 - Main 1L,31.8125,Non-production
2022-01-03 18:00:00,BS1 - Main 1L,32.0,Non-production
2022-01-03 18:15:00,BS1 - Main 1L,31.75,Non-production
2022-01-03 18:30:00,BS1 - Main 1L,31.5,Non-production
2022-01-03 18:45:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 19:00:00,BS1 - Main 1L,31.0,Non-production
2022-01-03 19:15:00,BS1 - Main 1L,31.0625,Non-production
2022-01-03 19:30:00,BS1 - Main 1L,31.125,Non-production
2022-01-03 19:45:00,BS1 - Main 1L,31.1875,Non-production
2022-01-03 20:00:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 20:15:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 20:30:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 20:45:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 21:00:00,BS1 - Main 1L,31.25,Non-production
2022-01-03 21:15:00,BS1 - Main 1L,31.3125,Non-production
2022-01-03 21:30:00,BS1 - Main 1L,31.375,Non-production
2022-01-03 21:45:00,BS1 - Main 1L,31.4375,Non-production
2022-01-03 22:00:00,BS1 - Main 1L,31.5,Non-production
2022-01-03 22:15:00,BS1 - Main 1L,31.75,Non-production
2022-01-03 22:30:00,BS1 - Main 1L,32.0,Non-production
2022-01-03 22:45:00,BS1 - Main 1L,32.25,Non-production
2022-01-03 23:00:00,BS1 - Main 1L,32.5,Non-production
2022-01-03 23:15:00,BS1 - Main 1L,32.0625,Non-production
2022-01-03 23:30:00,BS1 - Main 1L,31.625,Non-production
2022-01-03 23:45:00,BS1 - Main 1L,31.1875,Non-production
2022-01-04 00:00:00,BS1 - Main 1L,30.75,Non-production
2022-01-04 00:15:00,BS1 - Main 1L,30.5625,Non-production
2022-01-04 00:30:00,BS1 - Main 1L,30.375,Non-production
2022-01-04 00:45:00,BS1 - Main 1L,30.1875,Non-production
2022-01-04 01:00:00,BS1 - Main 1L,30.0,Non-production
2022-01-04 01:15:00,BS1 - Main 1L,30.25,Non-production
2022-01-04 01:30:00,BS1 - Main 1L,30.5,Non-production
2022-01-04 01:45:00,BS1 - Main 1L,30.75,Non-production
2022-01-04 02:00:00,BS1 - Main 1L,31.0,Non-production
2022-01-04 02:15:00,BS1 - Main 1L,31.1875,Non-production
2022-01-04 02:30:00,BS1 - Main 1L,31.375,Non-production
2022-01-04 02:45:00,BS1 - Main 1L,31.5625,Non-production
