time,Measure,kWh,label
2022-01-03 00:00:00,AB3 - Main 3L,36.75,Non-production
2022-01-03 01:00:00,AB3 - Main 3L,36.75,Non-production
2022-01-03 02:00:00,AB3 - Main 3L,35.75,Non-production
2022-01-03 03:00:00,AB3 - Main 3L,36.25,Non-production
2022-01-03 04:00:00,AB3 - Main 3L,38.25,Non-production
2022-01-03 05:00:00,AB3 - Main 3L,41.75,Non-production
2022-01-03 06:00:00,AB3 - Main 3L,42.0,Non-production
2022-01-03 07:00:00,AB3 - Main 3L,42.0,Non-production
2022-01-03 08:00:00,AB3 - Main 3L,42.0,Non-production
2022-01-03 09:00:00,AB3 - Main 3L,41.25,Non-production
2022-01-03 10:00:00,AB3 - Main 3L,40.0,Non-production
2022-01-03 11:00:00,AB3 - Main 3L,41.25,Non-production
2022-01-03 12:00:00,AB3 - Main 3L,41.75,Non-production
2022-01-03 13:00:00,AB3 - Main 3L,40.0,Non-production
2022-01-03 14:00:00,AB3 - Main 3L,37.0,Non-production
2022-01-03 15:00:00,AB3 - Main 3L,36.5,Non-production
2022-01-03 16:00:00,AB3 - Main 3L,35.5,Non-production
2022-01-03 17:00:00,AB3 - Main 3L,34.75,Non-production
2022-01-03 18:00:00,AB3 - Main 3L,36.75,Non-production
2022-01-03 19:00:00,AB3 - Main 3L,36.25,Non-production
2022-01-03 20:00:00,AB3 - Main 3L,36.25,Non-production
2022-01-03 21:00:00,AB3 - Main 3L,37.5,Non-production
2022-01-03 22:00:00,AB3 - Main 3L,36.5,Non-production
2022-01-03 23:00:00,AB3 - Main 3L,37.5,Non-production
2022-01-04 00:00:00,AB3 - Main 3L,36.5,Non-production
2022-01-04 01:00:00,AB3 - Main 3L,35.5,Non-production
2022-01-04 02:00:00,AB3 - Main 3L,35.5,Non-production
2022-01-04 03:00:00,AB3 - Main 3L,36.5,Non-production
2022-01-04 04:00:00,AB3 - Main 3L,40.75,Non-production
2022-01-04 05:00:00,AB3 - Main 3L,40.5,Non-production
2022-01-04 06:00:00,AB3 - Main 3L,41.0,Non-production
2022-01-04 07:00:00,AB3 - Main 3L,40.0,Non-production
2022-01-04 08:00:00,AB3 - Main 3L,40.75,Non-production
2022-01-04 09:00:00,AB3 - Main 3L,38.75,Non-production
2022-01-04 10:00:00,AB3 - Main 3L,39.0,Non-production
2022-01-04 11:00:00,AB3 - Main 3L,39.25,Non-production
2022-01-04 12:00:00,AB3 - Main 3L,39.0,Non-production
2022-01-04 13:00:00,AB3 - Main 3L,41.0,Non-production
2022-01-04 14:00:00,AB3 - Main 3L,36.5,Non-production
2022-01-04 15:00:00,AB3 - Main 3L,34.25,Non-production
2022-01-04 16:00:00,AB3 - Main 3L,33.25,Non-production
2022-01-04 17:00:00,AB3 - Main 3L,33.75,Non-production
2022-01-04 18:00:00,AB3 - Main 3L,34.0,Non-production
2022-01-04 19:00:00,AB3 - Main 3L,34.0,Non-production
2022-01-04 20:00:00,AB3 - Main 3L,34.25,Non-production
2022-01-04 21:00:00,AB3 - Main 3L,35.5,Non-production
2022-01-04 22:00:00,AB3 - Main 3L,36.5,Non-production
2022-01-04 23:00:00,AB3 - Main 3L,34.25,Non-production
2022-01-05 00:00:00,AB3 - Main 3L,35.0,Non-production
2022-01-05 01:00:00,AB3 - Main 3L,35.0,Non-production
